plot no.,s,e,p mg/l,k (mg/l),ca (mg/l),mg (mg/l),exch.acidity (cmol/l),total cations (cmol/l),acidity sat. %,ph(kcl),zn (mg/l),mn (mg/l),cu (mg/l),unnamed: 12,plot no..1,organic c. (%),n (%),clay (%)
TSPLOT 41-B,,,3.0,92.0,60.0,21.0,1.76,2.47,71.0,4.27,0.2,1.0,0.4,,TSPLOT 42-B,1,0.08,33
TSPLOT 41-C,,,2.0,53.0,211.0,61.0,2.12,3.81,56.0,3.95,0.2,2.0,0.7,,TSPLOT 43-A,1.6,0.15,26
TSPLOT 41-D,,,2.0,105.0,618.0,175.0,2.55,7.84,35.0,3.69,0.5,5.0,1.3,,TSPLOT 43-B,<  0.5,<  0.05,23
TSPLOT 42-A,,,2.0,107.0,865.0,379.0,0.86,8.57,10.0,3.87,0.8,10.0,1.3,,TSPLOT 44-A,<  0.5,<  0.05,13
TSPLOT 42-B,,,1.0,81.0,685.0,322.0,2.63,8.91,30.0,3.89,0.5,1.0,1.2,,TSPLOT 44-B,<  0.5,<  0.05,18
TSPLOT 43-A,,,2.0,175.0,446.0,149.0,0.27,4.17,6.0,4.26,0.5,4.0,0.9,,TSPLOT 45-A,1.5,0.11,18
TSPLOT 43-B,,,2.0,63.0,217.0,117.0,1.22,3.43,36.0,4.06,0.2,2.0,0.9,,TSPLOT 45-B,<  0.5,<  0.05,24
TSPLOT 44-A,,,2.0,234.0,661.0,157.0,0.16,5.35,3.0,4.4,0.2,5.0,0.8,,TSPLOT 46-A,1.3,0.09,24
TSPLOT 44-B,,,3.0,94.0,713.0,264.0,0.88,6.85,13.0,4.18,0.5,1.0,0.5,,TSPLOT 47-A,2.3,0.14,25
TSPLOT 45-A,,,3.0,129.0,504.0,162.0,1.07,5.25,20.0,4.1,0.7,4.0,1.7,,TSPLOT 47-B,<  0.5,<  0.05,33
TSPLOT 45-B,,,3.0,77.0,286.0,137.0,1.14,3.89,29.0,4.23,0.6,1.0,0.8,,TSPLOT 48-A,3.6,0.23,37
TSPLOT 46-A,,,3.0,229.0,478.0,139.0,0.67,4.78,14.0,4.11,0.6,5.0,1.1,,TSPLOT 48-B,2.3,0.15,41
TSPLOT 47-A,,,2.0,73.0,249.0,85.0,1.45,3.58,41.0,4.13,0.6,4.0,2.4,,TSPLOT 48-C,1,0.1,50
TSPLOT 47-B,,,1.0,25.0,96.0,41.0,0.92,1.9,51.0,4.31,0.4,1.0,0.9,,TSPLOT 49-A,3.5,0.2,38
TSPLOT 48-A,,,6.0,381.0,617.0,366.0,0.98,8.05,12.0,4.14,1.1,17.0,5.3,,TSPLOT 49-B,1.8,0.07,42
TSPLOT 48-B,,,4.0,115.0,284.0,117.0,1.78,4.95,36.0,4.1,0.6,14.0,4.3,,TSPLOT 50-A,1.2,0.12,13
TSPLOT 48-C,,,3.0,73.0,722.0,684.0,1.46,10.88,13.0,4.08,0.9,11.0,4.6,,TSPLOT 50-B,0.7,0.07,22
TSPLOT 49-A,,,9.0,268.0,445.0,202.0,1.76,6.33,28.0,4.0,1.0,29.0,5.0,,TSPLOT 50-C,0.5,0.07,25
TSPLOT 49-B,,,2.0,35.0,163.0,122.0,1.99,3.9,51.0,4.11,5.7,6.0,2.8,,TSPLOT 50-D,< 0.5,< 0.05,14
TSPLOT 50-A,,,3.0,158.0,440.0,118.0,0.2,3.77,5.0,4.33,1.4,7.0,1.0,,TSPLOT 51-A,5.7,0.29,44
TSPLOT 50-B,,,3.0,132.0,272.0,167.0,0.53,3.6,15.0,4.25,0.3,1.0,1.4,,TSPLOT 51-B,2.2,0.07,32
TSPLOT 50-C,,,1.0,105.0,183.0,154.0,0.98,3.43,29.0,4.1,0.3,1.0,1.4,,TSPLOT 52-A,0,0,0
TSPLOT 50-D,,,3.0,70.0,231.0,188.0,0.18,3.06,6.0,4.45,0.3,4.0,1.4,,TSPLOT 53-A,0.8,0.08,8
TSPLOT 51-A,,,4.0,283.0,1097.0,366.0,1.41,10.62,13.0,4.1,0.4,11.0,2.4,,TSPLOT 53-B,< 0.5,< 0.05,19
TSPLOT 51-B,,,1.0,97.0,3473.0,1152.0,0.85,27.91,3.0,3.95,0.6,10.0,1.0,,TSPLOT 54-A,3,0.14,22
TSPLOT 52-A,,,,,,,,,,,,,,,TSPLOT 55-A,2.8,0.23,10
TSPLOT 53-A,,,5.0,87.0,144.0,38.0,1.79,3.04,59.0,4.08,0.8,5.0,1.1,,TSPLOT 56-A,3.4,0.29,18
TSPLOT 53-B,,,2.0,51.0,48.0,15.0,1.41,1.9,74.0,4.31,0.2,1.0,0.2,,TSPLOT 57-A,2.4,0.13,28
TSPLOT 54-A,,,3.0,63.0,319.0,186.0,1.69,4.97,34.0,4.11,0.3,4.0,2.3,,TSPLOT 57-B,2.3,0.15,20
TSPLOT 55-A,,,16.0,112.0,109.0,24.0,1.89,2.92,65.0,4.53,0.3,3.0,0.9,,TSPLOT 57 -C,1.6,0.08,22
TSPLOT 56-A,,,3.0,3.45,693.0,147.0,0.3,5.85,5.0,4.43,1.1,23.0,1.5,,TSPLOT 57 -D,<  0.5,<  0.05,28
TSPLOT 57-A,,,3.0,182.0,429.0,146.0,0.9,4.71,19.0,4.13,0.1,15.0,4.4,,TSPLOT 58-A,2.7,0.17,19
TSPLOT 57-B,,,5.0,134.0,119.0,27.0,1.93,3.09,62.0,3.99,0.3,3.0,1.2,,TSPLOT 58-B,1.3,0.07,18
TSPLOT 57-C,,,3.0,81.0,66.0,22.0,1.9,2.62,73.0,4.02,0.1,1.0,1.0,,TSPLOT 58-C,< 0.5,<  0.05,23
TSPLOT 57-D,,,2.0,67.0,40.0,18.0,1.76,2.28,77.0,4.09,0.1,1.0,0.7,,TSPLOT 58-D,< 0.5,<  0.05,25
TSPLOT 58-A,,,8.0,257.0,259.0,90.0,1.18,3.87,30.0,4.14,0.5,6.0,1.5,,TSPLOT 59-A,5.1,0.32,22
TSPLOT 58-B,,,5.0,206.0,117.0,49.0,1.59,3.1,51.0,4.16,0.2,2.0,1.1,,TSPLOT 59-B,1.7,0.1,20
TSPLOT 58-C,,,3.0,131.0,35.0,26.0,1.82,2.54,72.0,4.16,0.1,1.0,0.6,,TSPLOT 60-A,3.1,<  0.05,39
TSPLOT 58-D,,,2.0,97.0,39.0,49.0,3.75,4.6,82.0,3.92,0.3,2.0,1.4,,TSPLOT 61-A,1.6,0.09,17
TSPLOT 59-A,,,13.0,104.0,80.0,39.0,2.82,3.81,74.0,4.02,0.5,9.0,2.0,,TSPLOT 61-B,< 0.5,< 0.05,21
TSPLOT 59-B,,,2.0,24.0,33.0,12.0,1.55,1.87,83.0,4.25,0.1,1.0,1.0,,TSPLOT 62-A,2.2,0.17,20
TSPLOT 60-A,,,3.0,185.0,892.0,340.0,1.7,9.42,18.0,4.07,0.2,10.0,1.1,,TSPLOT 63-A,0.6,<  0.05,11
TSPLOT 61-A,,,10.0,272.0,200.0,56.0,1.56,3.71,42.0,4.06,4.0,77.0,6.2,,TSPLOT 63-B,< 0.5,<  0.05,16
TSPLOT 61-B,,,2.0,84.0,359.0,124.0,1.57,4.6,34.0,4.02,0.4,1.0,0.8,,TSPLOT 63-C,< 0.5,<  0.05,<  5
TSPLOT 62-A,,,2.0,203.0,100.0,58.0,0.74,2.24,33.0,4.23,0.1,3.0,1.0,,TSPLOT 64-A,1,0.1,11
TSPLOT 63-A,,,4.0,107.0,125.0,30.0,1.46,2.6,56.0,4.03,0.1,3.0,1.6,,TSPLOT 64-B,1.3,0.1,12
TSPLOT 63-B,,,2.0,54.0,31.0,6.0,1.61,1.95,82.0,3.98,0.1,1.0,1.4,,TSPLOT 64-C,< 0.5,<  0.05,18
TSPLOT 63-C,,,3.0,21.0,16.0,10.0,0.6,0.82,74.0,4.21,0.1,1.0,0.5,,TSPLOT 65-A,1.5,0.12,16
TSPLOT 64-A,,,3.0,151.0,395.0,60.0,0.68,3.03,22.0,4.45,0.5,6.0,0.7,,TSPLOT 66-A,1.1,0.11,10
TSPLOT 64-B,,,3.0,95.0,235.0,61.0,0.78,2.7,29.0,4.2,0.3,3.0,0.6,,TSPLOT 66-B,< 0.5,<  0.05,9
TSPLOT 64-C,,,2.0,46.0,102.0,34.0,0.98,1.89,52.0,4.21,0.1,1.0,0.4,,TSPLOT 66-C,< 0.5,<  0.05,11
TSPLOT 65-A,,,6.0,154.0,348.0,79.0,0.98,3.76,26.0,3.99,0.5,15.0,0.6,,TSPLOT 67-A,1.9,0.15,10
TSPLOT 66-A,,,4.0,202.0,608.0,115.0,0.39,4.89,8.0,4.4,3.6,6.0,0.5,,TSPLOT 67-B,< 0.5,<  0.05,17
TSPLOT 66-B,,,1.0,89.0,496.0,115.0,0.4,3.95,8.0,4.42,0.1,1.0,0.4,,TSPLOT 67-C,< 0.5,<  0.05,17
TSPLOT 66-C,,,2.0,24.0,119.0,27.0,0.3,1.28,31.0,4.45,0.1,1.0,0.7,,TSPLOT 68-A,2.9,0.22,11
TSPLOT 67-A,,,7.0,59.0,245.0,60.0,1.45,3.32,44.0,3.98,0.4,6.0,1.7,,TSPLOT 68-B,1,0.12,6
TSPLOT 67-B,,,3.0,43.0,34.0,11.0,1.85,2.22,83.0,4.06,0.2,1.0,0.8,,TSPLOT 68-C,1.9,0.13,18
TSPLOT 67-C,,,1.0,131.0,98.0,55.0,2.64,3.92,67.0,3.91,0.1,1.0,1.4,,TSPLOT 69-A,1.8,0.15,20
TSPLOT 68-A,,,17.0,84.0,229.0,51.0,1.89,3.67,52.0,3.94,0.6,10.0,1.7,,TSPLOT 69-B,< 0.5,<  0.05,26
TSPLOT 68-B,,,8.0,71.0,56.0,29.0,1.45,2.15,67.0,4.22,0.4,3.0,0.6,,TSPLOT 69-C,< 0.5,<  0.05,21
TSPLOT 68-C,,,6.0,115.0,263.0,73.0,1.13,3.34,34.0,4.12,0.5,6.0,2.5,,TSPLOT 70-A,1,0.09,13
TSPLOT 69-A,,,3.0,183.0,835.0,216.0,0.47,6.88,7.0,4.22,0.7,9.0,2.2,,TSPLOT 70-B,< 0.5,<  0.05,16
TSPLOT 69-B,,,1.0,166.0,637.0,252.0,0.99,6.67,15.0,4.02,0.4,1.0,1.4,,TSPLOT 70-C,< 0.5,<  0.05,12
TSPLOT 69-C,,,2.0,175.0,941.0,385.0,0.7,9.01,8.0,4.01,0.3,9.0,0.6,,TSPLOT 71-A,2.5,0.15,39
TSPLOT 70-A,,,3.0,234.0,317.0,76.0,0.69,3.5,20.0,4.12,2.8,10.0,0.7,,TSPLOT 71-B,1.5,0.08,40
TSPLOT 70-B,,,2.0,123.0,184.0,57.0,1.12,2.82,40.0,4.11,0.4,2.0,0.6,,TSPLOT 72-A,1.9,0.11,31
TSPLOT 70-C,,,2.0,35.0,52.0,14.0,1.0,1.46,68.0,4.23,0.3,2.0,0.3,,TSPLOT 72-B,0.7,<  0.05,48
TSPLOT 71-A,,,3.0,101.0,384.0,108.0,1.67,4.73,35.0,4.01,1.6,21.0,5.0,,TSPLOT 73-A,3.6,0.22,27
TSPLOT 71-B,,,2.0,42.0,210.0,66.0,1.38,3.08,45.0,4.12,1.5,7.0,3.7,,TSPLOT 74-A,2,0.07,38
TSPLOT 72-A,,,2.0,23.0,441.0,167.0,1.08,4.71,23.0,4.15,1.3,18.0,4.8,,TSPLOT 74-B,1.1,<  0.05,40
TSPLOT 72-B,,,2.0,126.0,262.0,232.0,3.06,6.6,46.0,4.04,1.1,28.0,7.5,,TSPLOT 75-A,4.3,0.18,31
TSPLOT 73-A,,,5.0,341.0,1074.0,276.0,0.76,9.26,8.0,4.17,0.7,14.0,3.1,,TSPLOT 75-B,2.8,<  0.05,39
TSPLOT 74-A,,,2.0,242.0,1230.0,573.0,0.99,12.46,8.0,4.09,0.8,28.0,3.3,,TSPLOT 76-A,2.6,0.11,34
TSPLOT 74-B,,,2.0,123.0,173.0,92.0,1.65,3.59,46.0,4.12,0.0,11.0,1.3,,TSPLOT 76-B,< 0.5,<  0.05,45
TSPLOT 75-A,,,3.0,319.0,983.0,365.0,1.45,10.18,14.0,4.01,0.5,28.0,2.0,,TSPLOT 77-A,4.9,0.39,22
TSPLOT 75-B,,,2.0,115.0,2617.0,760.0,2.27,21.88,10.0,3.73,0.2,30.0,0.6,,TSPLOT 78-A,2.2,0.17,9
TSPLOT 76-A,,,4.0,231.0,404.0,188.0,2.14,6.29,34.0,3.93,0.4,26.0,3.8,,TSPLOT 79-A,2.8,0.13,17
TSPLOT 76-B,,,1.0,80.0,891.0,553.0,2.47,11.67,21.0,3.95,0.1,7.0,1.8,,TSPLOT 79-B,< 0.5,< 0.05,21
TSPLOT 77-A,,,3.0,72.0,3201.0,442.0,0.11,19.91,1.0,4.78,1.1,4.0,1.3,,TSPLOT 80-A,1.9,0.1,15
TSPLOT 78-A,,,4.0,139.0,391.0,99.0,0.49,3.61,14.0,4.14,0.8,23.0,0.8,,TSPLOT 80-A,1,0.12,6
TSPLOT 79-A,,,8.0,100.0,185.0,50.0,2.73,4.32,63.0,4.02,0.4,3.0,1.3,,TSPLOT 80-B,1.1,0.05,18
TSPLOT 79-B,,,2.0,84.0,169.0,57.0,4.12,5.65,73.0,4.06,0.2,1.0,1.5,,TSPLOT 80-C,< 0.5,<  0.05,21
TSPLOT 80-A,,,8.0,71.0,56.0,29.0,1.45,2.15,67.0,4.22,0.4,3.0,0.6,,TSPLOT 81-A,2.8,0.18,27
TSPLOT 80-B,,,4.0,119.0,97.0,36.0,2.22,3.3,67.0,4.02,0.5,2.0,0.9,,TSPLOT 81-B,2.3,0.12,27
TSPLOT 80-C,,,2.0,44.0,28.0,29.0,2.85,3.34,85.0,4.01,0.3,1.0,0.4,,TSPLOT 81-C,< 0.5,<  0.05,34
TSPLOT 81-A,,,5.0,127.0,194.0,54.0,2.14,3.88,55.0,3.99,0.1,11.0,3.4,,TSPLOT 82-A,1.8,0.15,12
TSPLOT 81-B,,,4.0,78.0,149.0,42.0,2.23,3.52,63.0,4.02,0.1,3.0,3.4,,TSPLOT 82-B,< 0.5,<  0.05,17
TSPLOT 81-C,,,3.0,53.0,68.0,46.0,1.63,2.48,66.0,4.12,0.1,3.0,1.8,,TSPLOT 83-A,1.2,0.12,12
TSPLOT 82-A,,,3.0,65.0,58.0,24.0,1.35,2.0,67.0,4.11,0.3,6.0,1.0,,TSPLOT 83-B,< 0.5,<  0.05,18
TSPLOT 82-B,,,1.0,20.0,5.0,7.0,0.72,0.85,84.0,4.31,0.0,1.0,0.7,,TSPLOT 84-A,2.8,0.2,34
TSPLOT 83-A,,,3.0,87.0,162.0,37.0,1.04,2.38,44.0,4.15,0.4,8.0,0.4,,TSPLOT 84-B,1.3,<  0.05,41
TSPLOT 83-B,,,1.0,36.0,71.0,27.0,0.94,1.61,58.0,4.28,0.1,1.0,0.1,,TSPLOT 85-A,1.3,<  0.05,45
TSPLOT 84-A,,,3.0,204.0,308.0,172.0,2.1,5.57,38.0,4.01,0.6,18.0,3.6,,TSPLOT 85-B,3.9,0.16,43
TSPLOT 84-B,,,1.0,82.0,140.0,95.0,2.5,4.19,60.0,3.96,0.2,16.0,2.8,,TSPLOT 86-A,0.9,0.08,9
TSPLOT 85-A,,,2.0,77.0,1162.0,1055.0,1.73,16.41,11.0,4.05,0.4,20.0,3.6,,TSPLOT 87-A,2.6,2.1,11
TSPLOT 85-B,,,2.0,28.0,4330.0,2803.0,1.28,46.03,3.0,3.95,0.4,5.0,1.3,,TSPLOT 87-B,< 0.5,<  0.05,10
TSPLOT 86-A,,,5.0,116.0,243.0,54.0,1.34,3.29,41.0,4.0,0.4,13.0,0.4,,TSPLOT 88-A,2.4,0.15,20
TSPLOT 87-A,,,2.0,133.0,135.0,35.0,1.11,2.41,46.0,4.1,1.0,4.0,0.6,,TSPLOT 88-B,< 0.5,<  0.05,25
TSPLOT 87-B,,,7.0,16.0,19.0,10.0,0.63,0.85,74.0,4.38,0.0,1.0,0.1,,TSPLOT 88-C,< 0.5,<  0.05,23
TSPLOT 88-A,,,5.0,200.0,259.0,79.0,1.63,4.08,40.0,3.98,0.2,7.0,1.0,,TSPLOT 88-D,< 0.5,<  0.05,31
TSPLOT 88-B,,,1.0,105.0,72.0,37.0,2.01,2.94,68.0,4.11,0.0,1.0,0.5,,TSPLOT 89-A,0.9,0.06,19
TSPLOT 88-C,,,1.0,157.0,24.0,31.0,3.49,4.27,82.0,3.84,0.0,17.0,1.5,,TSPLOT 90-A,1.5,0.09,17
TSPLOT 88-D,,,1.0,115.0,166.0,141.0,5.63,7.91,71.0,3.75,0.3,11.0,1.0,,TSPLOT 91-A,1.5,0.13,19
TSPLOT 89-A,,,3.0,238.0,749.0,264.0,0.38,6.9,6.0,4.22,0.1,26.0,0.9,,TSPLOT 91-B,< 0.5,<  0.05,24
TSPLOT 90-A,,,5.0,185.0,378.0,154.0,0.86,4.49,19.0,3.98,0.5,13.0,1.0,,TSPLOT 92-C,< 0.5,<  0.05,26
,,,,,,,,,,,,,,,TSPLOT 93-A,0.6,<  0.05,23
,,,,,,,,,,,,,,,TSPLOT 93-B,< 0.5,<  0.05,24
,,,,,,,,,,,,,,,TSPLOT 94-A,< 0.5,<  0.05,19
,,,,,,,,,,,,,,,TSPLOT 94-B,< 0.5,<  0.05,20
,,,,,,,,,,,,,,,TSPLOT 93-C,< 0.5,<  0.05,26
,,,,,,,,,,,,,,,TSPLOT 95-A,1.3,0.12,22
,,,,,,,,,,,,,,,TSPLOT 96-A,1.4,0.12,22
,,,,,,,,,,,,,,,TSPLOT 96-B,< 0.5,<  0.05,25
,,,,,,,,,,,,,,,TSPLOT 96-C,< 0.5,<  0.05,24
,,,,,,,,,,,,,,,TSPLOT 97-A,2,0.15,23
,,,,,,,,,,,,,,,TSPLOT 97-B,< 0.5,<  0.05,15
,,,,,,,,,,,,,,,TSPLOT 97-C,< 0.5,0.09,28
,,,,,,,,,,,,,,,TSPLOT 98-A,1.4,0.13,19
,,,,,,,,,,,,,,,TSPLOT 98-B,< 0.5,0.06,27
,,,,,,,,,,,,,,,TSPLOT 99-A,1.2,0.1,22
,,,,,,,,,,,,,,,TSPLOT 100-A,1.2,0.1,15
,,,,,,,,,,,,,,,TSPLOT 101-A,< 0.5,0.05,27
,,,,,,,,,,,,,,,TSPLOT 101-B,< 0.5,0.06,30
,,,,,,,,,,,,,,,TSPLOT 102-A,2.6,0.18,35
,,,,,,,,,,,,,,,TSPLOT 102-B,< 0.5,<  0.05,31
,,,,,,,,,,,,,,,TSPLOT 102-C,< 0.5,<  0.05,35
,,,,,,,,,,,,,,,TSPLOT 103-A,2,0.15,22
,,,,,,,,,,,,,,,TSPLOT 103-B,< 0.5,<  0.05,29
,,,,,,,,,,,,,,,TSPLOT 103-C,< 0.5,<  0.05,22
,,,,,,,,,,,,,,,TSPLOT 104-A,1.6,0.13,22
,,,,,,,,,,,,,,,TSPLOT 104-B,< 0.5,<  0.05,26
,,,,,,,,,,,,,,,TSPLOT 104-C,< 0.5,0.06,29
,,,,,,,,,,,,,,,TSPLOT 105-A,2.1,0.16,22
,,,,,,,,,,,,,,,TSPLOT 105-B,0.8,<  0.05,31
,,,,,,,,,,,,,,,TSPLOT 106-A,2.1,0.18,26
,,,,,,,,,,,,,,,TSPLOT 106-B,1.4,0.13,28
,,,,,,,,,,,,,,,TSPLOT 107-A,1.4,0.11,18
,,,,,,,,,,,,,,,TSPLOT 107-B,< 0.5,<  0.05,25
,,,,,,,,,,,,,,,TSPLOT 108-A,0.9,0.1,20
,,,,,,,,,,,,,,,TSPLOT 109-A,< 0.5,0.06,14
,,,,,,,,,,,,,,,TSPLOT 109-B,< 0.5,<  0.05,20
,,,,,,,,,,,,,,,TSPLOT 109-C,< 0.5,<  0.05,21
,,,,,,,,,,,,,,,TSPLOT 110-A,1,0.1,18
,,,,,,,,,,,,,,,TSPLOT 110-B,< 0.5,<  0.05,27
,,,,,,,,,,,,,,,TSPLOT 110-C,< 0.5,<  0.05,38
,,,,,,,,,,,,,,,TSPLOT 111-A,0.9,0.08,20
,,,,,,,,,,,,,,,TSPLOT 111-B,< 0.5,<  0.05,25
,,,,,,,,,,,,,,,TSPLOT 111-C,< 0.5,<  0.05,25
,,,,,,,,,,,,,,,TSPLOT 112-A,< 0.5,0.05,11
,,,,,,,,,,,,,,,TSPLOT 112-B,< 0.5,0.06,22
,,,,,,,,,,,,,,,TSPLOT 112-C,0.7,0.08,41
,,,,,,,,,,,,,,,TSPLOT 113-A,1.5,1.12,23
,,,,,,,,,,,,,,,TSPLOT 114-A,1,0.07,20
,,,,,,,,,,,,,,,TSPLOT 114-B,< 0.5,<  0.05,23
,,,,,,,,,,,,,,,TSPLOT 115-A,2,0.19,24
,,,,,,,,,,,,,,,TSPLOT 115-B,< 0.5,<  0.05,30
,,,,,,,,,,,,,,,TSPLOT 115-C,< 0.5,<  0.05,29
,,,,,,,,,,,,,,,TSPLOT 116-A,1.5,0.11,23
,,,,,,,,,,,,,,,TSPLOT 116-B,< 0.5,<  0.05,28
,,,,,,,,,,,,,,,TSPLOT 117-A,1.8,0.16,18
,,,,,,,,,,,,,,,TSPLOT 117-B,< 0.5,0.06,21
,,,,,,,,,,,,,,,TSPLOT 117-C,< 0.5,<  0.05,28
,,,,,,,,,,,,,,,TSPLOT 118-A,2.4,0.18,30
,,,,,,,,,,,,,,,TSPLOT 118-B,< 0.5,<  0.05,31
,,,,,,,,,,,,,,,TSPLOT 118-C,< 0.5,<  0.05,34
,,,,,,,,,,,,,,,TSPLOT 119-A,2.7,0.17,25
,,,,,,,,,,,,,,,TSPLOT 119-B,1,0.06,28
,,,,,,,,,,,,,,,TSPLOT 120-A,3.2,0.32,22
TSPLOT 91-A,,,3.0,181.0,518.0,130.0,0.4,4.52,9.0,4.11,0.7,6.0,1.3,,TSPLOT 91-A,1.5,0.13,19
TSPLOT 91-B,,,1.0,129.0,1201.0,518.0,0.12,10.71,1.0,4.86,0.3,11.0,1.4,,TSPLOT 91-B,< 0.5,<  0.05,24
TSPLOT 92-A,,,4.0,299.0,580.0,141.0,0.33,4.97,7.0,4.09,0.3,11.0,1.4,,TSPLOT 92-A,1.5,0.13,19
TSPLOT 92-B,,,1.0,122.0,381.0,142.0,0.81,4.19,19.0,4.04,0.0,1.0,1.6,,TSPLOT 92-B,< 0.5,<  0.05,24
TSPLOT 92-C,,,1.0,139.0,813.0,285.0,0.11,6.87,2.0,4.75,4.1,3.0,1.6,,TSPLOT 92-C,< 0.5,<  0.05,26
TSPLOT 93-A,,,3.0,83.0,314.0,98.0,0.37,2.96,13.0,4.17,1.1,22.0,0.9,,TSPLOT 93-A,0.6,<  0.05,23
TSPLOT 93-B,,,1.0,39.0,291.0,113.0,0.21,2.69,8.0,4.22,0.1,14.0,1.2,,TSPLOT 93-B,< 0.5,<  0.05,24
TSPLOT 94-A,,,2.0,131.0,252.0,84.0,0.15,2.43,6.0,4.23,0.2,10.0,0.6,,TSPLOT 94-A,< 0.5,<  0.05,19
TSPLOT 94-B,,,1.0,82.0,127.0,70.0,0.91,2.33,39.0,4.03,0.1,2.0,0.7,,TSPLOT 94-B,< 0.5,<  0.05,20
TSPLOT 94-C,,,1.0,58.0,166.0,107.0,1.03,2.89,36.0,4.01,0.1,6.0,0.7,,TSPLOT 93-C,< 0.5,<  0.05,26
TSPLOT 95-A,,,4.0,59.0,122.0,37.0,1.1,2.16,51.0,4.0,0.1,6.0,0.6,,TSPLOT 95-A,1.3,0.12,22
TSPLOT 96-A,,,3.0,236.0,317.0,115.0,0.59,3.72,16.0,4.02,0.2,7.0,1.1,,TSPLOT 96-A,1.4,0.12,22
TSPLOT 96-B,,,1.0,102.0,176.0,94.0,1.29,3.2,40.0,3.96,0.1,74.0,1.2,,TSPLOT 96-B,< 0.5,<  0.05,25
