Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
EK,Livestock Patterns,710,South Africa,7213,Livestock units per agricultural land area,2123,Goats,2002,2002,LSU/ha,0.01,E,Estimated value
EK,Livestock Patterns,710,South Africa,7213,Livestock units per agricultural land area,2123,Goats,2003,2003,LSU/ha,0.01,E,Estimated value
EK,Livestock Patterns,710,South Africa,7213,Livestock units per agricultural land area,2123,Goats,2004,2004,LSU/ha,0.01,E,Estimated value
EK,Livestock Patterns,710,South Africa,7213,Livestock units per agricultural land area,2123,Goats,2005,2005,LSU/ha,0.01,E,Estimated value
EK,Livestock Patterns,710,South Africa,7213,Livestock units per agricultural land area,2123,Goats,2006,2006,LSU/ha,0.01,E,Estimated value
EK,Livestock Patterns,710,South Africa,7213,Livestock units per agricultural land area,2123,Goats,2007,2007,LSU/ha,0.01,E,Estimated value
EK,Livestock Patterns,710,South Africa,7213,Livestock units per agricultural land area,2123,Goats,2008,2008,LSU/ha,0.01,E,Estimated value
EK,Livestock Patterns,710,South Africa,7213,Livestock units per agricultural land area,2123,Goats,2009,2009,LSU/ha,0.01,E,Estimated value
EK,Livestock Patterns,710,South Africa,7213,Livestock units per agricultural land area,2123,Goats,2010,2010,LSU/ha,0.01,E,Estimated value
EK,Livestock Patterns,710,South Africa,7213,Livestock units per agricultural land area,2123,Goats,2011,2011,LSU/ha,0.01,E,Estimated value
EK,Livestock Patterns,710,South Africa,7213,Livestock units per agricultural land area,2123,Goats,2012,2012,LSU/ha,0.01,E,Estimated value
EK,Livestock Patterns,710,South Africa,7213,Livestock units per agricultural land area,2123,Goats,2013,2013,LSU/ha,0.01,E,Estimated value
EK,Livestock Patterns,710,South Africa,7213,Livestock units per agricultural land area,2123,Goats,2014,2014,LSU/ha,0.01,E,Estimated value
EK,Livestock Patterns,710,South Africa,7213,Livestock units per agricultural land area,2123,Goats,2015,2015,LSU/ha,0.01,E,Estimated value
EK,Livestock Patterns,710,South Africa,7213,Livestock units per agricultural land area,2123,Goats,2016,2016,LSU/ha,0.01,E,Estimated value
EK,Livestock Patterns,710,South Africa,7213,Livestock units per agricultural land area,2123,Goats,2017,2017,LSU/ha,0.01,E,Estimated value
EK,Livestock Patterns,710,South Africa,7213,Livestock units per agricultural land area,2123,Goats,2018,2018,LSU/ha,0.01,E,Estimated value
EK,Livestock Patterns,710,South Africa,7213,Livestock units per agricultural land area,2123,Goats,2019,2019,LSU/ha,0.01,E,Estimated value
EK,Livestock Patterns,710,South Africa,7213,Livestock units per agricultural land area,2123,Goats,2020,2020,LSU/ha,0.01,E,Estimated value
EK,Livestock Patterns,710,South Africa,7213,Livestock units per agricultural land area,2123,Goats,2021,2021,LSU/ha,0.01,E,Estimated value
EK,Livestock Patterns,710,South Africa,7213,Livestock units per agricultural land area,2123,Goats,2022,2022,LSU/ha,0.01,E,Estimated value
EK,Livestock Patterns,710,South Africa,7211,Share in total livestock,2123,Goats,2000,2000,%LSU,4.51,E,Estimated value
EK,Livestock Patterns,710,South Africa,7211,Share in total livestock,2123,Goats,2001,2001,%LSU,4.38,E,Estimated value
EK,Livestock Patterns,710,South Africa,7211,Share in total livestock,2123,Goats,2002,2002,%LSU,4.34,E,Estimated value
EK,Livestock Patterns,710,South Africa,7211,Share in total livestock,2123,Goats,2003,2003,%LSU,4.32,E,Estimated value
EK,Livestock Patterns,710,South Africa,7211,Share in total livestock,2123,Goats,2004,2004,%LSU,4.34,E,Estimated value
EK,Livestock Patterns,710,South Africa,7211,Share in total livestock,2123,Goats,2005,2005,%LSU,4.35,E,Estimated value
EK,Livestock Patterns,710,South Africa,7211,Share in total livestock,2123,Goats,2006,2006,%LSU,4.42,E,Estimated value
EK,Livestock Patterns,710,South Africa,7211,Share in total livestock,2123,Goats,2007,2007,%LSU,4.21,E,Estimated value
EK,Livestock Patterns,710,South Africa,7211,Share in total livestock,2123,Goats,2008,2008,%LSU,4.3,E,Estimated value
EK,Livestock Patterns,710,South Africa,7211,Share in total livestock,2123,Goats,2009,2009,%LSU,4.18,E,Estimated value
EK,Livestock Patterns,710,South Africa,7211,Share in total livestock,2123,Goats,2010,2010,%LSU,4.11,E,Estimated value
EK,Livestock Patterns,710,South Africa,7211,Share in total livestock,2123,Goats,2011,2011,%LSU,4.05,E,Estimated value
EK,Livestock Patterns,710,South Africa,7211,Share in total livestock,2123,Goats,2012,2012,%LSU,3.99,E,Estimated value
EK,Livestock Patterns,710,South Africa,7211,Share in total livestock,2123,Goats,2013,2013,%LSU,4.02,E,Estimated value
EK,Livestock Patterns,710,South Africa,7211,Share in total livestock,2123,Goats,2014,2014,%LSU,3.99,E,Estimated value
EK,Livestock Patterns,710,South Africa,7211,Share in total livestock,2123,Goats,2015,2015,%LSU,3.97,E,Estimated value
EK,Livestock Patterns,710,South Africa,7211,Share in total livestock,2123,Goats,2016,2016,%LSU,3.87,E,Estimated value
EK,Livestock Patterns,710,South Africa,7211,Share in total livestock,2123,Goats,2017,2017,%LSU,3.87,E,Estimated value
EK,Livestock Patterns,710,South Africa,7211,Share in total livestock,2123,Goats,2018,2018,%LSU,3.85,E,Estimated value
EK,Livestock Patterns,710,South Africa,7211,Share in total livestock,2123,Goats,2019,2019,%LSU,3.79,E,Estimated value
EK,Livestock Patterns,710,South Africa,7211,Share in total livestock,2123,Goats,2020,2020,%LSU,3.81,E,Estimated value
EK,Livestock Patterns,710,South Africa,7211,Share in total livestock,2123,Goats,2021,2021,%LSU,3.82,E,Estimated value
EK,Livestock Patterns,710,South Africa,7211,Share in total livestock,2123,Goats,2022,2022,%LSU,3.82,E,Estimated value
EK,Livestock Patterns,710,South Africa,7213,Livestock units per agricultural land area,2122,Sheep,2000,2000,LSU/ha,0.03,E,Estimated value
EK,Livestock Patterns,710,South Africa,7213,Livestock units per agricultural land area,2122,Sheep,2001,2001,LSU/ha,0.03,E,Estimated value
EK,Livestock Patterns,710,South Africa,7213,Livestock units per agricultural land area,2122,Sheep,2002,2002,LSU/ha,0.03,E,Estimated value
EK,Livestock Patterns,710,South Africa,7213,Livestock units per agricultural land area,2122,Sheep,2003,2003,LSU/ha,0.03,E,Estimated value
EK,Livestock Patterns,710,South Africa,7213,Livestock units per agricultural land area,2122,Sheep,2004,2004,LSU/ha,0.03,E,Estimated value
EK,Livestock Patterns,710,South Africa,7213,Livestock units per agricultural land area,2122,Sheep,2005,2005,LSU/ha,0.03,E,Estimated value
EK,Livestock Patterns,710,South Africa,7213,Livestock units per agricultural land area,2122,Sheep,2006,2006,LSU/ha,0.03,E,Estimated value
EK,Livestock Patterns,710,South Africa,7213,Livestock units per agricultural land area,2122,Sheep,2007,2007,LSU/ha,0.03,E,Estimated value
